Interesting,Mapped,Visited,Photographed,Name (en),Name (cn),"Lat, Lon",Address (en),Has Historical Photo,Address (cn),Reference (link),Status,Current Use,Products,Brands (cn/en),Guizhou?,Notes,Dates of operation
,,,,,,,,,,,,,,,,,
,,,,Shanghai Radio no.1 Factory ,上海无线电一厂,"31.24003, 121.42391",No. 475 Guangfu West Road,,上海市光复西路475号,http://www.studyofnet.com/717614483.html,,"Could not be found at current location, but opposite of river was a material research institute on Changshou Rd. My notes mention Radio factory 1 became the Shanghai Research Institute of Chemical Industry but cannot find a reference for that.",,,,,
,,,,Shanghai Radio no.2 Factory ,上海无线电二厂,"31.25146, 121.43661",No. 96 Yichang Road ,,上海市宜昌路96号,http://www.studyofnet.com/717614483.html,Demolished?,Currently the Mengqing garden park. There are still remains of an old brewery. The orginal factory moved to Guizhou under the Third Front Movement,,,Link to folder ,Moved to Guizhou,
,,,,Shanghai Radio no.3 Factory,上海无线电三厂,"31.24204, 121.44763",No. 65 West Suzhou Road ,,上海市西苏州路65号,http://www.studyofnet.com/717614483.html,Partly seems to exist,"Currently a Residential area (you can get on the roof). But behind the towerblock is a massive abbandoned factory, the Shanghai Elecric Machine Tool & Engineering Co., LTD. The gate is open. (Also opposite there are former factory buildings, 1950's style, clearly preserved and renovated, but no further info ). What is the link with these places and factory 3? Tried to get inside but were not allowed 'too dangerous/partly demolished'. The bao'an at both the industrial buildings (also the one at the other side of the street/corner) don't know anything. The machine tool factory moved to an industrial zone where also the 'Clock Factory of Shanghai is' > Chnagzhong extended middle road 625?",,Mudan 牡丹 8402,,weixin Article with pics link,
,,,,Shanghai Radio no.4 Factory ,上海无线电四厂,"31.19681,121.43756",No. 1001 Zhaojiabang Road ,,上海市肇嘉浜路1001号,http://www.studyofnet.com/717614483.html,Demolished,"4a: cannot find the adress, only 999 and 1029. In between these numbers is a parking lot and a street. Interestingly, EXACTLY opposite are the remains of the chunghwa rubber factory chimney. 4b:Residential area (interestingly there is a Shanghai Electric company xiaoqu behind it)",Produced China's first domestically developed germanium transitor radio  美多 Meiduo 28A(not to beconfused with the 636 radio),,,,
,,,,Shanghai Radio no.4(b) Factory ,上海无线电五厂,"31.19979, 121.45651",No. 414 Xietu Road,,上海市斜土路414号,https://www.eet-china.com/mp/a52402.html,,"Second location of Shanghai Radio Factory No. 4 ('b' addded the author), not sure which came first, marker position is incorrect (it's on a corner). Behind the building is a 'Shanghai Electric' xiaoqu interestingly.",,,,,
,,,,Shanghai Radio no.6 Factory ,上海无线电六厂,"31.24272, 121.42523",No. 419 Guangfu West Road ,,上海市光复西路419号,http://www.studyofnet.com/717614483.html,,"Seems to share lot with Factory 1, just new apartment block, with the addition of some recent red brick work...weird",,,,,
,,,,Shanghai Radio no.7 Factory ,上海无线电七厂,"31.268506, 121.489337",No.289 Ouyang Road,,上海市欧阳路289号,https://www.sohu.com/a/704664731_121687414,More pictures: https://mp.weixin.qq.com/s/Uzih_Hk39c3BSmNsCcoObQ,"Residential area: 绿洲紫荆花园, become joint venture with philips, producing semiconductors 1992(5nm) https://baike.baidu.com/tashuo/browse/content?id=300006d98e56456e083d53a3",,,,referred to as Shangwu No. 7 Factory / 简称上无七厂,
,,,,Shanghai Radio no.8 Factory ,上海无线电八厂,"31.267639, 121.482681",No. 2246 Sichuan North Road,,上海市虹口区四川北路2246号,http://www.studyofnet.com/717614483.html,,"Currently the North Sichuan Road Police Station but cannot find address, asked the police and uncle outside the police station. The police did not know, but the uncle mentioned that the address used to be here but that the ‘dianzi’ factory that used to be here moved around the corner to East Jiangwan Road 188, which in turn has been turned into a creative industry park ‘space188’. There is till a computer repair shop inside and many different companies. The area itself has a rich military history, the World War 2 Japanese Naval headquarters building is just around the corner, as well as the former resting place of Luxun and residence of Li Bai who worked at the Communist party’s clandestine radio station in 1937. Around 1954 this factory moved (equipment and people) to Guizhou, base 061.",,,maybe? why is it on my to visit list,,
,,,,Shanghai Radio no.9 Factory (a),上海无线电九厂,"31.20680, 121.46182","No. 62 Zhaojiabang Road, Building No. 17 and No. 393, ",,上海市肇嘉浜路62弄17号和393号,http://www.studyofnet.com/717614483.html,Demolished,Demolished,,636 radio,,"Developed and produced China's first (single) transistor medium wave handheld radio, became Weixun(?) moved to (30.991968,121.5482  ref?) Looks like there are interesting antennas in the garden",
